algorithm,size,backend,oracle_shots,epsilon,batch
dj,4,aer_simulator,50,0.05,50
dj,4,fake_kyiv,50,0.05,50
dj,4,fake_marrakesh,50,0.05,50
dj,4,fake_sherbrooke,50,0.05,50
dj,5,aer_simulator,50,0.05,50
dj,5,fake_fez,50,0.05,50
dj,5,fake_kyiv,100,0.05,50
dj,5,fake_marrakesh,50,0.05,50
dj,5,fake_sherbrooke,350,0.05,50
dj,5,fake_torino,100,0.05,50
dj,6,aer_simulator,50,0.05,50
dj,6,fake_fez,100,0.05,50
dj,6,fake_kyiv,400,0.05,50
dj,6,fake_marrakesh,100,0.05,50
dj,6,fake_sherbrooke,350,0.05,50
dj,6,fake_torino,150,0.05,50
dj,7,aer_simulator,50,0.05,50
dj,7,fake_fez,250,0.05,50
dj,7,fake_kyiv,350,0.05,50
dj,7,fake_marrakesh,50,0.05,50
dj,7,fake_sherbrooke,550,0.05,50
dj,7,fake_torino,600,0.05,50
dj,8,aer_simulator,50,0.05,50
dj,8,fake_kyiv,500,0.05,50
dj,8,fake_sherbrooke,650,0.05,50
dj,8,fake_torino,450,0.05,50
dj,9,aer_simulator,50,0.05,50
dj,9,fake_fez,300,0.05,50
dj,9,fake_kyiv,1000,0.05,50
dj,9,fake_marrakesh,450,0.05,50
dj,9,fake_sherbrooke,1950,0.05,50
dj,9,fake_torino,1550,0.05,50
dj,10,aer_simulator,50,0.05,50
dj,10,fake_kyiv,1800,0.05,50
dj,10,fake_marrakesh,300,0.05,50
dj,10,fake_sherbrooke,1100,0.05,50
dj,11,aer_simulator,50,0.05,50
dj,11,fake_fez,1050,0.05,50
dj,11,fake_kyiv,2650,0.05,50
dj,11,fake_marrakesh,500,0.05,50
dj,11,fake_sherbrooke,2500,0.05,50
dj,11,fake_torino,1750,0.05,50
dj,12,aer_simulator,50,0.05,50
dj,12,fake_fez,1200,0.05,50
dj,12,fake_kyiv,2700,0.05,50
dj,12,fake_marrakesh,600,0.05,50
dj,12,fake_sherbrooke,2800,0.05,50
dj,12,fake_torino,2600,0.05,50
dj,13,aer_simulator,50,0.05,50
dj,13,fake_fez,1350,0.05,50
dj,13,fake_kyiv,3350,0.05,50
dj,13,fake_marrakesh,1000,0.05,50
dj,13,fake_sherbrooke,4350,0.05,50
dj,13,fake_torino,2450,0.05,50
dj,14,aer_simulator,50,0.05,50
dj,14,fake_kyiv,5650,0.05,50
dj,14,fake_sherbrooke,3700,0.05,50
dj,14,fake_torino,4000,0.05,50
dj,15,aer_simulator,50,0.05,50
dj,15,fake_fez,3500,0.05,50
dj,15,fake_kyiv,7400,0.05,50
dj,15,fake_marrakesh,1950,0.05,50
dj,15,fake_sherbrooke,6300,0.05,50
dj,15,fake_torino,5300,0.05,50
ghz,4,aer_simulator,100,0.05,50
ghz,4,fake_fez,50,0.05,50
ghz,4,fake_kyiv,200,0.05,50
ghz,4,fake_marrakesh,200,0.05,50
ghz,4,fake_sherbrooke,150,0.05,50
ghz,4,fake_torino,150,0.05,50
ghz,5,aer_simulator,300,0.05,50
ghz,5,fake_fez,250,0.05,50
ghz,5,fake_kyiv,500,0.05,50
ghz,5,fake_marrakesh,150,0.05,50
ghz,5,fake_sherbrooke,250,0.05,50
ghz,5,fake_torino,650,0.05,50
ghz,6,aer_simulator,200,0.05,50
ghz,6,fake_fez,350,0.05,50
ghz,6,fake_kyiv,250,0.05,50
ghz,6,fake_marrakesh,400,0.05,50
ghz,6,fake_sherbrooke,600,0.05,50
ghz,6,fake_torino,500,0.05,50
ghz,7,aer_simulator,100,0.05,50
ghz,7,fake_fez,450,0.05,50
ghz,7,fake_kyiv,250,0.05,50
ghz,7,fake_marrakesh,350,0.05,50
ghz,7,fake_sherbrooke,200,0.05,50
ghz,7,fake_torino,900,0.05,50
ghz,8,aer_simulator,100,0.05,50
ghz,8,fake_fez,300,0.05,50
ghz,8,fake_kyiv,200,0.05,50
ghz,8,fake_marrakesh,300,0.05,50
ghz,8,fake_sherbrooke,1250,0.05,50
ghz,8,fake_torino,800,0.05,50
ghz,9,aer_simulator,50,0.05,50
ghz,9,fake_fez,300,0.05,50
ghz,9,fake_kyiv,450,0.05,50
ghz,9,fake_marrakesh,450,0.05,50
ghz,9,fake_sherbrooke,800,0.05,50
ghz,9,fake_torino,2000,0.05,50
ghz,10,aer_simulator,100,0.05,50
ghz,10,fake_fez,450,0.05,50
ghz,10,fake_kyiv,750,0.05,50
ghz,10,fake_marrakesh,300,0.05,50
ghz,10,fake_sherbrooke,1400,0.05,50
ghz,10,fake_torino,1500,0.05,50
ghz,11,aer_simulator,50,0.05,50
ghz,11,fake_fez,1000,0.05,50
ghz,11,fake_kyiv,1300,0.05,50
ghz,11,fake_marrakesh,350,0.05,50
ghz,11,fake_sherbrooke,950,0.05,50
ghz,11,fake_torino,1750,0.05,50
ghz,12,aer_simulator,350,0.05,50
ghz,12,fake_fez,650,0.05,50
ghz,12,fake_kyiv,1400,0.05,50
ghz,12,fake_marrakesh,1400,0.05,50
ghz,12,fake_sherbrooke,1400,0.05,50
