algorithm,size,backend,oracle_shots,epsilon,batch
dj,4,aer_simulator,50,0.1,50
dj,4,fake_kyiv,50,0.1,50
dj,4,fake_marrakesh,50,0.1,50
dj,4,fake_sherbrooke,50,0.1,50
dj,5,aer_simulator,50,0.1,50
dj,5,fake_fez,50,0.1,50
dj,5,fake_kyiv,50,0.1,50
dj,5,fake_marrakesh,50,0.1,50
dj,5,fake_sherbrooke,50,0.1,50
dj,5,fake_torino,50,0.1,50
dj,6,aer_simulator,50,0.1,50
dj,6,fake_fez,50,0.1,50
dj,6,fake_kyiv,50,0.1,50
dj,6,fake_marrakesh,50,0.1,50
dj,6,fake_sherbrooke,50,0.1,50
dj,6,fake_torino,100,0.1,50
dj,7,aer_simulator,50,0.1,50
dj,7,fake_fez,50,0.1,50
dj,7,fake_kyiv,100,0.1,50
dj,7,fake_marrakesh,50,0.1,50
dj,7,fake_sherbrooke,150,0.1,50
dj,7,fake_torino,200,0.1,50
dj,8,aer_simulator,50,0.1,50
dj,8,fake_kyiv,150,0.1,50
dj,8,fake_sherbrooke,150,0.1,50
dj,8,fake_torino,250,0.1,50
dj,9,aer_simulator,50,0.1,50
dj,9,fake_fez,50,0.1,50
dj,9,fake_kyiv,200,0.1,50
dj,9,fake_marrakesh,200,0.1,50
dj,9,fake_sherbrooke,250,0.1,50
dj,9,fake_torino,400,0.1,50
dj,10,aer_simulator,50,0.1,50
dj,10,fake_kyiv,500,0.1,50
dj,10,fake_marrakesh,150,0.1,50
dj,10,fake_sherbrooke,400,0.1,50
dj,11,aer_simulator,50,0.1,50
dj,11,fake_fez,200,0.1,50
dj,11,fake_kyiv,800,0.1,50
dj,11,fake_marrakesh,200,0.1,50
dj,11,fake_sherbrooke,600,0.1,50
dj,11,fake_torino,500,0.1,50
dj,12,aer_simulator,50,0.1,50
dj,12,fake_fez,200,0.1,50
dj,12,fake_kyiv,750,0.1,50
dj,12,fake_marrakesh,100,0.1,50
dj,12,fake_sherbrooke,900,0.1,50
dj,12,fake_torino,500,0.1,50
dj,13,aer_simulator,50,0.1,50
dj,13,fake_fez,250,0.1,50
dj,13,fake_kyiv,700,0.1,50
dj,13,fake_marrakesh,200,0.1,50
dj,13,fake_sherbrooke,800,0.1,50
dj,13,fake_torino,650,0.1,50
dj,14,aer_simulator,50,0.1,50
dj,14,fake_kyiv,1800,0.1,50
dj,14,fake_sherbrooke,750,0.1,50
dj,14,fake_torino,1100,0.1,50
dj,15,aer_simulator,50,0.1,50
dj,15,fake_fez,650,0.1,50
dj,15,fake_kyiv,2500,0.1,50
dj,15,fake_marrakesh,400,0.1,50
dj,15,fake_sherbrooke,1700,0.1,50
dj,15,fake_torino,1900,0.1,50
ghz,4,aer_simulator,100,0.1,50
ghz,4,fake_fez,50,0.1,50
ghz,4,fake_kyiv,100,0.1,50
ghz,4,fake_marrakesh,150,0.1,50
ghz,4,fake_sherbrooke,50,0.1,50
ghz,4,fake_torino,100,0.1,50
ghz,5,aer_simulator,100,0.1,50
ghz,5,fake_fez,50,0.1,50
ghz,5,fake_kyiv,200,0.1,50
ghz,5,fake_marrakesh,50,0.1,50
ghz,5,fake_sherbrooke,50,0.1,50
ghz,5,fake_torino,100,0.1,50
ghz,6,aer_simulator,50,0.1,50
ghz,6,fake_fez,150,0.1,50
ghz,6,fake_kyiv,100,0.1,50
ghz,6,fake_marrakesh,200,0.1,50
ghz,6,fake_sherbrooke,100,0.1,50
ghz,6,fake_torino,100,0.1,50
ghz,7,aer_simulator,50,0.1,50
ghz,7,fake_fez,250,0.1,50
