algorithm,size,backend,seed,n_star
dj,4,fake_fez,1,50
dj,4,fake_fez,2,50
dj,4,fake_fez,3,50
dj,4,fake_fez,4,50
dj,4,fake_fez,5,50
dj,4,fake_fez,6,50
dj,4,fake_fez,7,50
dj,4,fake_fez,8,50
dj,4,fake_fez,9,50
dj,4,fake_fez,10,50
dj,4,fake_fez,11,50
dj,4,fake_fez,12,50
dj,4,fake_fez,13,50
dj,4,fake_fez,14,50
dj,4,fake_fez,15,50
dj,4,fake_fez,16,50
dj,4,fake_fez,17,50
dj,4,fake_fez,18,50
dj,4,fake_fez,19,50
dj,4,fake_fez,20,50
dj,4,fake_torino,1,50
dj,4,fake_torino,2,50
dj,4,fake_torino,3,50
dj,4,fake_torino,4,50
dj,4,fake_torino,5,50
dj,4,fake_torino,6,50
dj,4,fake_torino,7,50
dj,4,fake_torino,8,50
dj,4,fake_torino,9,50
dj,4,fake_torino,10,50
dj,4,fake_torino,11,50
dj,4,fake_torino,12,50
dj,4,fake_torino,13,50
dj,4,fake_torino,14,50
dj,4,fake_torino,15,50
dj,4,fake_torino,16,50
dj,4,fake_torino,17,50
dj,4,fake_torino,18,50
dj,4,fake_torino,19,50
dj,4,fake_torino,20,50
dj,8,fake_fez,1,50
dj,8,fake_fez,2,50
dj,8,fake_fez,3,50
dj,8,fake_fez,4,50
dj,8,fake_fez,5,50
dj,8,fake_fez,6,100
dj,8,fake_fez,7,50
dj,8,fake_fez,8,50
dj,8,fake_fez,9,50
dj,8,fake_fez,10,50
dj,8,fake_fez,11,50
dj,8,fake_fez,12,100
dj,8,fake_fez,13,100
dj,8,fake_fez,14,250
dj,8,fake_fez,15,50
dj,8,fake_fez,16,50
dj,8,fake_fez,17,50
dj,8,fake_fez,18,50
dj,8,fake_fez,19,50
dj,8,fake_fez,20,100
dj,8,fake_marrakesh,1,50
dj,8,fake_marrakesh,2,50
dj,8,fake_marrakesh,3,100
dj,8,fake_marrakesh,4,50
dj,8,fake_marrakesh,5,50
dj,8,fake_marrakesh,6,50
dj,8,fake_marrakesh,7,100
dj,8,fake_marrakesh,8,100
dj,8,fake_marrakesh,9,50
dj,8,fake_marrakesh,10,50
dj,8,fake_marrakesh,11,50
dj,8,fake_marrakesh,12,50
dj,8,fake_marrakesh,13,100
dj,8,fake_marrakesh,14,50
dj,8,fake_marrakesh,15,50
dj,8,fake_marrakesh,16,50
dj,8,fake_marrakesh,17,50
dj,8,fake_marrakesh,18,50
dj,8,fake_marrakesh,19,50
dj,8,fake_marrakesh,20,50
dj,10,fake_fez,1,200
dj,10,fake_fez,2,100
dj,10,fake_fez,3,100
dj,10,fake_fez,4,100
dj,10,fake_fez,5,100
dj,10,fake_fez,6,100
dj,10,fake_fez,7,100
dj,10,fake_fez,8,100
dj,10,fake_fez,9,100
dj,10,fake_fez,10,150
dj,10,fake_fez,11,100
dj,10,fake_fez,12,150
dj,10,fake_fez,13,100
dj,10,fake_fez,14,100
dj,10,fake_fez,15,100
dj,10,fake_fez,16,100
dj,10,fake_fez,17,50
dj,10,fake_fez,18,200
dj,10,fake_fez,19,50
dj,10,fake_fez,20,100
dj,10,fake_torino,1,500
dj,10,fake_torino,2,300
dj,10,fake_torino,3,300
dj,10,fake_torino,4,350
dj,10,fake_torino,5,350
dj,10,fake_torino,6,300
dj,10,fake_torino,7,400
dj,10,fake_torino,8,200
dj,10,fake_torino,9,450
dj,10,fake_torino,10,250
dj,10,fake_torino,11,200
dj,10,fake_torino,12,200
dj,10,fake_torino,13,350
dj,10,fake_torino,14,250
dj,10,fake_torino,15,200
dj,10,fake_torino,16,350
dj,10,fake_torino,17,500
dj,10,fake_torino,18,250
dj,10,fake_torino,19,250
dj,10,fake_torino,20,300
dj,14,fake_fez,1,350
dj,14,fake_fez,2,300
dj,14,fake_fez,3,350
dj,14,fake_fez,4,250
dj,14,fake_fez,5,350
dj,14,fake_fez,6,450
dj,14,fake_fez,7,500
dj,14,fake_fez,8,300
dj,14,fake_fez,9,350
dj,14,fake_fez,10,450
dj,14,fake_fez,11,350
dj,14,fake_fez,12,400
dj,14,fake_fez,13,600
dj,14,fake_fez,14,400
dj,14,fake_fez,15,550
dj,14,fake_fez,16,300
dj,14,fake_fez,17,350
dj,14,fake_fez,18,250
dj,14,fake_fez,19,300
dj,14,fake_fez,20,400
dj,14,fake_marrakesh,1,300
dj,14,fake_marrakesh,2,150
dj,14,fake_marrakesh,3,300
dj,14,fake_marrakesh,4,300
dj,14,fake_marrakesh,5,300
dj,14,fake_marrakesh,6,350
dj,14,fake_marrakesh,7,250
dj,14,fake_marrakesh,8,200
dj,14,fake_marrakesh,9,400
dj,14,fake_marrakesh,10,200
dj,14,fake_marrakesh,11,200
dj,14,fake_marrakesh,12,200
dj,14,fake_marrakesh,13,150
dj,14,fake_marrakesh,14,150
dj,14,fake_marrakesh,15,400
dj,14,fake_marrakesh,16,550
dj,14,fake_marrakesh,17,300
dj,14,fake_marrakesh,18,300
dj,14,fake_marrakesh,19,200
dj,14,fake_marrakesh,20,250
qaoa,4,fake_sherbrooke,1,150
qaoa,4,fake_sherbrooke,2,100
qaoa,4,fake_sherbrooke,3,200
qaoa,4,fake_sherbrooke,4,100
qaoa,4,fake_sherbrooke,5,100
qaoa,4,fake_sherbrooke,6,150
qaoa,4,fake_sherbrooke,7,50
qaoa,4,fake_sherbrooke,8,150
qaoa,4,fake_sherbrooke,9,300
qaoa,4,fake_sherbrooke,10,100
qaoa,4,fake_sherbrooke,11,200
qaoa,4,fake_sherbrooke,12,100
qaoa,4,fake_sherbrooke,13,150
qaoa,4,fake_sherbrooke,14,100
qaoa,4,fake_sherbrooke,15,100
qaoa,4,fake_sherbrooke,16,200
qaoa,4,fake_sherbrooke,17,100
qaoa,4,fake_sherbrooke,18,150
qaoa,4,fake_sherbrooke,19,100
qaoa,4,fake_sherbrooke,20,150
qaoa,6,fake_marrakesh,1,800
qaoa,6,fake_marrakesh,2,650
qaoa,6,fake_marrakesh,3,550
qaoa,6,fake_marrakesh,4,450
qaoa,6,fake_marrakesh,5,350
qaoa,6,fake_marrakesh,6,500
qaoa,6,fake_marrakesh,7,450
qaoa,6,fake_marrakesh,8,550
qaoa,6,fake_marrakesh,9,350
qaoa,6,fake_marrakesh,10,550
qaoa,6,fake_marrakesh,11,550
qaoa,6,fake_marrakesh,12,350
qaoa,6,fake_marrakesh,13,550
qaoa,6,fake_marrakesh,14,500
qaoa,6,fake_marrakesh,15,350
qaoa,6,fake_marrakesh,16,750
qaoa,6,fake_marrakesh,17,500
qaoa,6,fake_marrakesh,18,600
qaoa,6,fake_marrakesh,19,500
qaoa,6,fake_marrakesh,20,500
qaoa,8,fake_kyiv,1,1800
qaoa,8,fake_kyiv,2,2150
qaoa,8,fake_kyiv,3,1400
qaoa,8,fake_kyiv,4,2900
qaoa,8,fake_kyiv,5,2250
qaoa,8,fake_kyiv,6,1950
qaoa,8,fake_kyiv,7,1900
qaoa,8,fake_kyiv,8,2450
qaoa,8,fake_kyiv,9,2000
qaoa,8,fake_kyiv,10,1750
qaoa,8,fake_kyiv,11,2400
qaoa,8,fake_kyiv,12,2050
qaoa,8,fake_kyiv,13,1850
qaoa,8,fake_kyiv,14,2000
qaoa,8,fake_kyiv,15,1950
qaoa,8,fake_kyiv,16,2000
qaoa,8,fake_kyiv,17,1800
qaoa,8,fake_kyiv,18,1900
qaoa,8,fake_kyiv,19,1550
qaoa,8,fake_kyiv,20,1900
qaoa,8,fake_sherbrooke,1,2150
qaoa,8,fake_sherbrooke,2,2550
qaoa,8,fake_sherbrooke,3,1500
qaoa,8,fake_sherbrooke,4,2050
qaoa,8,fake_sherbrooke,5,2500
qaoa,8,fake_sherbrooke,6,1950
qaoa,8,fake_sherbrooke,7,1800
qaoa,8,fake_sherbrooke,8,1800
qaoa,8,fake_sherbrooke,9,1750
qaoa,8,fake_sherbrooke,10,1750
qaoa,8,fake_sherbrooke,11,2000
qaoa,8,fake_sherbrooke,12,1900
qaoa,8,fake_sherbrooke,13,2100
qaoa,8,fake_sherbrooke,14,2050
qaoa,8,fake_sherbrooke,15,1750
qaoa,8,fake_sherbrooke,16,2200
qaoa,8,fake_sherbrooke,17,1700
qaoa,8,fake_sherbrooke,18,1850
qaoa,8,fake_sherbrooke,19,1300
qaoa,8,fake_sherbrooke,20,2050
qaoa,10,fake_sherbrooke,1,6450
qaoa,10,fake_sherbrooke,2,6300
qaoa,10,fake_sherbrooke,3,6700
qaoa,10,fake_sherbrooke,4,6300
qaoa,10,fake_sherbrooke,5,5600
qaoa,10,fake_sherbrooke,6,6750
qaoa,10,fake_sherbrooke,7,5700
qaoa,10,fake_sherbrooke,8,6900
qaoa,10,fake_sherbrooke,9,5650
qaoa,10,fake_sherbrooke,10,6000
qaoa,10,fake_sherbrooke,11,6150
qaoa,10,fake_sherbrooke,12,6600
qaoa,10,fake_sherbrooke,13,6300
