[1/720] dj_4_fake_fez seed=1 n*=50  (0.2s, ~3 min left)
[2/720] dj_4_fake_fez seed=2 n*=50  (0.2s, ~2 min left)
[3/720] dj_4_fake_fez seed=3 n*=50  (0.2s, ~2 min left)
[4/720] dj_4_fake_fez seed=4 n*=50  (0.2s, ~2 min left)
[5/720] dj_4_fake_fez seed=5 n*=50  (0.2s, ~2 min left)
[6/720] dj_4_fake_fez seed=6 n*=50  (0.2s, ~2 min left)
[7/720] dj_4_fake_fez seed=7 n*=50  (0.2s, ~2 min left)
[8/720] dj_4_fake_fez seed=8 n*=50  (0.2s, ~2 min left)
[9/720] dj_4_fake_fez seed=9 n*=50  (0.2s, ~2 min left)
[10/720] dj_4_fake_fez seed=10 n*=50  (0.2s, ~2 min left)
[11/720] dj_4_fake_fez seed=11 n*=50  (0.2s, ~2 min left)
[12/720] dj_4_fake_fez seed=12 n*=50  (0.2s, ~2 min left)
[13/720] dj_4_fake_fez seed=13 n*=50  (0.2s, ~2 min left)
[14/720] dj_4_fake_fez seed=14 n*=50  (0.2s, ~2 min left)
[15/720] dj_4_fake_fez seed=15 n*=50  (0.2s, ~2 min left)
[16/720] dj_4_fake_fez seed=16 n*=50  (0.2s, ~2 min left)
[17/720] dj_4_fake_fez seed=17 n*=50  (0.2s, ~2 min left)
[18/720] dj_4_fake_fez seed=18 n*=50  (0.2s, ~2 min left)
[19/720] dj_4_fake_fez seed=19 n*=50  (0.2s, ~2 min left)
[20/720] dj_4_fake_fez seed=20 n*=50  (0.2s, ~2 min left)
[21/720] dj_4_fake_torino seed=1 n*=50  (0.2s, ~2 min left)
[22/720] dj_4_fake_torino seed=2 n*=50  (0.2s, ~2 min left)
[23/720] dj_4_fake_torino seed=3 n*=50  (0.2s, ~2 min left)
[24/720] dj_4_fake_torino seed=4 n*=50  (0.2s, ~2 min left)
[25/720] dj_4_fake_torino seed=5 n*=50  (0.2s, ~2 min left)
[26/720] dj_4_fake_torino seed=6 n*=50  (0.2s, ~2 min left)
[27/720] dj_4_fake_torino seed=7 n*=50  (0.2s, ~2 min left)
[28/720] dj_4_fake_torino seed=8 n*=50  (0.2s, ~2 min left)
[29/720] dj_4_fake_torino seed=9 n*=50  (0.2s, ~2 min left)
[30/720] dj_4_fake_torino seed=10 n*=50  (0.2s, ~2 min left)
[31/720] dj_4_fake_torino seed=11 n*=50  (0.2s, ~2 min left)
[32/720] dj_4_fake_torino seed=12 n*=50  (0.2s, ~2 min left)
[33/720] dj_4_fake_torino seed=13 n*=50  (0.2s, ~2 min left)
[34/720] dj_4_fake_torino seed=14 n*=50  (0.2s, ~2 min left)
[35/720] dj_4_fake_torino seed=15 n*=50  (0.2s, ~2 min left)
[36/720] dj_4_fake_torino seed=16 n*=50  (0.2s, ~2 min left)
[37/720] dj_4_fake_torino seed=17 n*=50  (0.2s, ~2 min left)
[38/720] dj_4_fake_torino seed=18 n*=50  (0.2s, ~2 min left)
[39/720] dj_4_fake_torino seed=19 n*=50  (0.2s, ~2 min left)
[40/720] dj_4_fake_torino seed=20 n*=50  (0.2s, ~2 min left)
